Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
Stop N Joy,300,2, ,11am – 9pm (Mon-Sun),11,3.4,Kanakapura Road,1,1,0, ,0,1
Stop N Joy,200,2, ,9am – 11pm (Mon-Sun),64,3.8,Kumaraswamy Layout,1,1,0, ,0,1
Stories,1000,4,3,12noon – 1am (Mon-Sun),1106,4,Rajajinagar,2,1,1,2,0,1
Strada Kitchen & Bar,1000,3, ,7:30am – 10am (Mon-Sun),5,3.4,Electronic City,1,0,0, ,0,1
Straight Up,1000,3, ,"12noon – 12midnight (Mon-Wed),11:30am –...",271,4.2,Hennur,1,1,0, ,0,1
Strawbees,350,2, ,10:30am – 10:30pm (Mon-Sun),46,3.9,Kaggadasapura,1,1,1, ,0,1
Street 55#,250,3, ,11am – 11pm (Mon-Sun),19,3.6,Nagarbhavi,1,1,1, ,0,1
Street Mama,1500,4,2,11:30am – 1am (Mon-Sun),309,4.6,"Garuda Mall, Magrath Road",2,1,0, ,1,1
Strikers Sports Bar and Music,1200,3, ,12noon – 12midnight (Mon-Sun),64,3.8,Shanti Nagar,1,1,1, ,0,1
Strona - The Fern Residency,1200,3, ,12noon – 11:30pm (Mon-Sun),35,3.6,The Fern Residency,1,1,1, ,0,1
Subham Pal Kitchen,300,2,1,"11:30am – 4:30pm, 7pm – 11:30pm (Mon-Sun)",5,3.3,Koramangala 1st Block,1,0,0, ,0,1
Subhash Mess,200,1, ,8am – 10pm (Mon-Sun),23,3.7,New BEL Road,1,1,0, ,0,1
Subway,600,3, ,10am – 11pm (Mon-Sun),85,4,Vijay Nagar,1,1,1,43,0,1
Subz,1000,2,2,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",1951,4.2,Jayanagar,1,0,1, ,0,1
Suchi Family Restaurant,700,2, ,12noon – 10:30pm (Mon-Sun),15,3.6,"Varthur Main Road, Whitefield",1,1,1, ,0,1
Suchithra Biryani House,450,3, ,"11:30am – 4pm, 7pm – 11pm (Mon-Sun)",267,3.7,Old Airport Road,1,1,0,1,0,1
Sufi Restaurant & Cafe,500,4, ,11am – 12midnight (Mon-Sun),94,3.7,Banaswadi,1,1,1, ,0,1
Sugar & Spice - Taj MG Road Bengaluru,800,1, ,9am – 11pm (Mon-Sun),75,3.9,"Vivanta By Taj, MG Road",1,1,0, ,0,1
Sugar N Spice,400,1, ,11am – 11pm (Mon-Sun),15,2.7,Kalyan Nagar,1,1,0, ,0,1
Sugarberryz Cakery,1200,2, ,9am – 8pm (Mon-Sun),33,3.8,Commercial Street,1,0,0, ,0,1
SugarLove,1000,1, ,"8am – 8pm (Mon-Fri),Closed (Sat-Sun)",9,3.5,Kaggadasapura,1,0,0, ,0,1
Sukh Sagar,500,4, ,8am – 10:30pm (Mon-Sun),462,3.8,Koramangala 5th Block,1,1,1,3,0,1
Sukh Sagar Express,500,4, ,11am – 10:30pm (Mon-Sun),86,3.6,"Orion Mall, Malleshwaram",1,1,0, ,0,1
Sulaimani Chai,100,2, ,6am – 11pm (Mon-Sun),20,3.8,Koramangala 5th Block, ,1,0, ,0,1
Sultan Rolls & Sandwiches,300,2, ,1pm – 11:30pm (Mon-Sun),46,3.9,New BEL Road,1,1,0, ,0,1
Sultan's,750,3, ,12noon – 11pm (Mon-Sun),93,3.4,Jakkur,1,1,0, ,0,1
Sultan's Biryani,700,2, ,10:30am – 10:30pm (Mon-Sun),21,2.8,Indiranagar,1,1,0,8,0,0
Sultans of Spice,1300,3,3,"12noon – 3:30pm, 7pm – 11:30pm (Mon-Fri),12noon...",3357,4.5,"BluPetal Hotel, Koramangala",1,1,1, ,0,1
Sumadhura Food's,300,2, ,8am – 10pm (Mon-Sun),71,3.7,Sahakara Nagar,1,1,1, ,0,1
Sun Pub,700,2, ,10:30am – 11pm (Mon-Sun),110,2.7,Rajarajeshwari Nagar,1,1,0, ,0,1
Sun Valley - Country Club,800,2, ,7am – 11:30pm (Mon-Sun),12,2.9,Magadi Road,1,1,0, ,0,1
Sunehri,500,1, ,7am – 4pm (Mon-Sun),64,3.7,"Woodlands Hotel, Richmond Road",1,1,0, ,0,1
Sunny Cafe & Kitchen,700,7, ,11am – 11:30pm (Mon-Sun),408,3.6,HSR,1,1,1, ,0,1
Sunny Side Bistro,700,2, ,8am – 9:30pm (Mon-Sun),337,3.9,Frazer Town, ,1,1,1,0,1
Sunny's,1800,4,3,"12noon – 3pm, 6pm – 11pm (Mon-Wed),12noon –...",1276,4.1,Lavelle Road,2,1,1, ,1,1
Suprabatha Coffee Kendra,150,2, ,"6am – 9pm (Mon-Sat),Closed (Sun)",10,3.4,Basavanagudi,2,1,0, ,0,1
Surya Refreshments,150,1, ,6am – 9:30pm (Mon-Sun),34,3.9,Malleshwaram,1,1,1, ,0,1
Surya Restaurant,300,4, ,7:30am – 11pm (Mon-Sun),14,2.9,Kaggadasapura,1,1,0, ,0,1
Suryawanshi,700,2,1,"9am – 4pm, 6:30pm – 11pm (Mon-Sun)",81,4.4,Sarjapur Road,1,1,0,3,0,1
Sutra - The Lalit Ashok Bangalore,2200,2,1,"11:30am – 11:30pm (Mon, Tue, Wed, Thu, Sun)...",260,3.8,"The Lalit Ashok Bangalore, Seshadripuram",1,1,0, ,0,1
SV Juice Corner,150,2, ,10am – 10pm (Mon-Sun),6,3.3,JP Nagar,1,1,0, ,0,1
Svadu Sweets & Savouries,150,2, ,9am – 10:30pm (Mon-Sun),23,3.7,BTM,2,1,0,1,0,0
SVKP Daily Fresh,350,1, ,"6am – 2pm, 6pm – 9:30pm (Mon-Sun)",5,3.3,Banashankari,1,1,0, ,0,1
Swaadam Veg,800,2, ,8am – 11pm (Mon-Sun),30,3,BTM,1,1,1, ,0,1
Swaadishta Restaurant,750,4, ,"11:30am – 3pm, 6:30pm – 10:30pm (Mon-Sun)",54,2.7,Sadashiv Nagar,1,1,0, ,0,1
Swad,500,2, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",37,3.7,Electronic City,1,1,0, ,0,1
Swad 'E' Punjab,500,3, ,"11:30am – 4pm, 6pm – 11pm (Mon),11:30am – 4pm...",45,3.6,HSR,1,1,1,1,0,1
Swad Plaza,400,2, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",7,3.5,BTM, ,1,1, ,0,1
Swad Punjab Da,150,1, ,8am – 11pm (Mon-Sun),108,3.9,BTM,1,0,0,1,0,1
Swad Restaurant,550,2, ,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",108,3.7,BTM,1,1,1,1,0,1
Swadesh Tadka,600,3, ,"11:30am – 4pm, 6:30pm – 10pm (Mon),11:30am –...",171,3.6,Banashankari,1,1,1, ,0,1
Swadeshi's,800,3, ,11am – 11pm (Mon-Sun),169,4,Kanakapura Road,1,1,0, ,0,1
Swadisht Inn,500,3, ,"11:30am – 4pm, 7:30pm – 11:30pm (Mon-Sun)",15,3.6,Rajajinagar,1,1,0, ,0,1
Swadisht North Indian Restaurant,250,1, ,"9:30am – 4pm, 6pm – 10:30pm (Mon-Sun)",21,3.4,HSR,2,1,1, ,0,1
Swadishta,200,3, ,7am – 10:30pm (Mon-Sun),5,3.3,Whitefield,1,0,0, ,0,1
Swadist Pakhal Restaurant,500,4, ,(Mon-Sun),8,3.4,Sarjapur Road,1,0,0, ,0,1
Swadista Aahar,300,3, ,7am – 10:30pm (Mon-Sun),701,3.9,BTM,1,1,1, ,0,1
Swagatham,450,2, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",14,3.2,Nagawara,1,1,0, ,0,1
Swasth Express,200,1, ,11am – 10pm (Mon-Sun),6,3.3,"Inorbit Mall, Whitefield",1,1,0, ,0,1
Swasthi Spice Restaurant,600,3, ,"11:30am – 4pm, 7pm – 11pm (Mon-Sun)",560,3.2,Rajajinagar,1,1,1, ,0,1
Swathi,700,3, ,"11:30am – 4pm, 6:30pm – 11pm (Mon-Sun)",550,3.7,Rajajinagar,1,1,1,5,0,1
Swathi Delux,450,3, ,11:30am – 11pm (Mon-Sun),11,3.2,Majestic,1,1,0, ,0,1
Swathi Deluxe,750,3,1,11:30am – 11:30pm (Mon-Sun),212,3.9,Marathahalli,1,1,1,2,0,1
Swathi Restaurant,400,1, ,11:30am – 10pm (Mon-Sun),32,3.8,JP Nagar,1,1,1,3,0,1
Swathi Restaurant,600,3, ,7am – 10:30pm (Mon-Sun),25,3.8,Seshadripuram,1,0,0, ,0,1
Swathi Restaurant - The Vintage Inn,900,2, ,"11:45am – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",27,3.9,Electronic City,1,1,1, ,0,0
Sweet Chariot,500,5, ,10am – 10:30pm (Mon-Sun),181,4,Koramangala 7th Block,2,1,1,22,0,0
Sweet Chills,200,3, ,11am – 11pm (Mon-Sun),56,3.7,Vijay Nagar,1,1,0, ,0,1
Sweet Moments,100,2, ,9am – 10pm (Mon-Sun),84,4.1,Kammanahalli,2,1,0,2,0,0
Sweet Nothings Couture Cupcakes,250,2, ,11am – 9pm (Mon-Sun),6,3.4,Whitefield,1,1,0, ,0,1
Sweet Revenge,300,2, ,9am – 11pm (Mon-Sun),7,3.4,Electronic City,2,1,0, ,0,1
Sweet Tooth - Do you have one?,600,2, ,9am – 10pm (Mon-Sun),4,3.3,Whitefield,1,1,0, ,0,1
Sweet Truth,300,1,1,9am – 1am (Mon-Sun),23,4.1,KR Puram,1,1,1,37,0,0
Swing,1000,3,1,12noon – 1am (Mon-Sun),172,3.9,Indiranagar,2,1,1, ,0,1
Swiss Cream,250,3, ,11:30am – 11:30pm (Mon-Sun),18,3.6,KR Puram,1,1,1,1,0,0
Symas,400,4, ,10am – 11pm (Mon-Sun),23,3.7,RT Nagar,1,0,0, ,0,1
Szechuan Dragon,600,3,1,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",1575,4.1,Banashankari, ,1,1,1,0,1
Szechwan Court - The Oberoi,2500,1, ,"12:30pm – 3pm, 7:30pm – 11:30pm (Mon-Sun)",164,4.2,"The Oberoi, MG Road",1,1,0, ,0,1
T3H Cafe,300,2, ,"Closed (Mon),11am – 10pm (Tue-Sun)",86,3.9,Banashankari,1,1,0, ,0,1
Taamara,600,3, ,7am – 10pm (Mon-Sun),28,3,Race Course Road,1,1,0, ,0,1
Taantraa - Organic Handbaking,350,2, ,9am – 8pm (Mon-Sun),26,3.7,Indiranagar, ,1,0, ,0,1
Taaza Mithai,100,2, ,8:30am – 10pm (Mon-Sun),43,3.8,JP Nagar,1,1,1, ,0,1
Taaza Thindi,100,1,2,"7am – 12noon, 4:30pm – 9:30pm (Mon-Fri),7am –...",3801,4.9,Jayanagar,1,1,0,1,0,1
TAB - Take A Break,550,3, ,11:30am – 10:30pm (Mon-Sun),507,4.1,JP Nagar, ,1,0, ,0,1
TAB - Take A Break,550,3, ,11:30am – 10:30pm (Mon-Sun),507,4.1,JP Nagar,1,1,0, ,0,0
Taco Bell,600,3, ,11am – 11pm (Mon-Sun),1930,4,Koramangala 6th Block, ,1,1,7,0,1
Tadka Punjabi Restaurant,300,1, ,11am – 11pm (Mon-Sun),6,3.4,Whitefield,1,0,0, ,0,1
Tadka Singh,650,1, , ,935,3.3,Indiranagar,1,1,0, ,1,1
Tadkawala,200,1, ,7am – 11pm (Mon-Sun),28,3.7,Vasanth Nagar, ,1,1, ,0,1
Tadkawala,200,1, ,7am – 11pm (Mon-Sun),28,3.7,Vasanth Nagar,1,1,1, ,0,1
Taipan,700,2, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",123,3.5,Frazer Town, ,1,0, ,0,1
Taiyvan's,600,4, ,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",97,3.6,RT Nagar,1,1,1, ,0,1
Taj Durbar,350,1, ,11:30am – 11:30pm (Mon-Sun),68,3.7,Jayanagar,1,1,0, ,0,1
Taj Hotel,550,2, ,9am – 12:30AM (Mon-Sun),104,3.7,Shivajinagar,1,1,1, ,0,1
Taj Kabab Corner,300,2, ,12noon – 10pm (Mon-Sun),10,3.2,Banaswadi,1,1,0, ,0,1
Taj Restaurant,400,2, ,7am – 12midnight (Mon-Sun),56,3.8,City Market,1,1,0, ,0,1
Take A Break,600,1, ,11am – 11pm (Mon-Sun),7,3.4,Shanti Nagar,1,1,0, ,0,1
Take It!,450,3,1,6pm – 3am (Mon-Sun),36,3.4,Marathahalli,1,1,1, ,0,1
Talk Ease,200,1, ,11am – 11pm (Mon-Sun),9,3.2,City Market,1,1,0, ,0,0
Tall Blonde French,450,1, ,11:30am – 12midnight (Mon-Sun),63,4,Thippasandra, ,1,1,2,0,1
Tamarind,750,3, ,11:30am – 11pm (Mon-Sun),223,2.7,Rammurthy Nagar,1,1,1, ,0,1
Tamarind - Signature Club Resort,800,3, ,7:30am – 11pm (Mon-Sun),17,3.3,International Airport,1,1,0, ,0,1
Tamarind - Taj Bangalore,3000,2,1,7pm – 11pm (Mon-Sun),45,4.2,"Taj Bangalore, International Airport",1,1,1, ,0,1
Tamarind - Tamarind Hospitality,750,3, ,11:30am – 11pm (Mon-Sun),589,3.8,Tamarind Hospitality,1,1,1, ,0,1
Tanang Naga Restaurant,350,2, ,11am – 9pm (Mon-Sun),44,3.9,Hennur,1,1,0, ,0,1
Tandoor,2100,1,3,"12noon – 3:30pm, 7pm – 11:30pm (Mon-Sun)",1302,3.9,MG Road,1,1,1, ,0,1
Tandoor And Spice,550,4, ,"12noon – 4pm, 7pm – 11:30pm (Mon, Tue, Wed, Thu...",154,4,JP Nagar,1,1,1, ,0,1
Tandoor Box,600,3, ,"12:30pm – 10:30pm (Mon-Thu),12:30pm – 11pm...",158,3.9,Whitefield,1,1,1,1,0,1
Tandoor Flavours,300,3, ,"12noon – 3:30pm, 6pm – 11pm (Mon-Sun)",144,2.7,Rajarajeshwari Nagar,1,1,1, ,0,1
Tandoor Gala,400,2, ,12noon – 12midnight (Mon-Sun),82,3.9,Kammanahalli,1,1,1, ,0,1
Tandoor Garden,350,2,1,12noon – 11:30pm (Mon-Sun),64,3.6,BTM,1,1,1, ,0,1
Tandoor Hut,400,2,1,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",993,4.1,Koramangala 5th Block,1,1,1, ,0,1
Tandoor Merchant,450,3, ,11am – 3am (Mon-Sun),18,3.1,BTM,1,1,1, ,0,1
Tandoor Nation,400,2, ,11am – 1:15am (Mon-Sun),36,3,BTM,1,1,1, ,0,1
Tandoori Chowk,400,2, ,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",96,3.3,Marathahalli,1,1,1, ,0,1
Tandoori Ghar,450,3, ,12noon – 11pm (Mon-Sun),228,3.7,RT Nagar,1,1,1, ,0,1
Tandoori Junction,400,3, ,"6pm – 1am (Mon-Fri),12noon – 3pm, 6pm – 1am...",45,3.8,Marathahalli,1,1,1, ,0,1
Tandoori Taal,900,2,1,"12:30pm – 3:30pm, 7pm – 11pm (Mon-Sun)",1742,4.3,Indiranagar,1,1,1,1,0,1
Tandooriwala,550,2, ,11am – 11pm (Mon-Sun),23,3.5,"Elements Mall, Nagawara",1,1,1,2,0,1
Tandurust,300,2, ,"7:30am – 4:30pm (Mon-Fri),Closed (Sat-Sun)",27,3.6,Bellandur,1,1,0, ,0,1
Tangerine - Davanam Sarovar Portico Suites,1100,8,2,24 Hours (Mon-Sun),130,4,"Davanam Sarovar Portico Suites, Hosur Road",1,1,1, ,0,0
Tango Bango,500,8, ,12noon – 3am (Mon-Sun),110,3.7,Jeevan Bhima Nagar,1,1,1, ,0,1
Tangra Indo - Chinese Cuisine,400,2, ,11am – 11pm (Mon-Sun),23,2.9,"Bangalore Central, JP Nagar",1,1,1, ,0,1
Tanuja Home Food,300,1,1,6am – 3am (Mon-Sun),15,3.1,Whitefield,1,1,1, ,0,1
Tap House Resto Bar,900,3, ,"11am – 11:30pm (Mon, Tue, Wed, Thu, Sun), 11:30am...",181,3.4,Electronic City,2,1,1, ,0,1
Tapout Tavern,1000,7,1,"12noon – 12midnight (Mon-Thu),12noon – 1am...",280,4.1,Sarjapur Road,2,1,1, ,0,1
Tapri By The Corner,250,1,1,11am – 10pm (Mon-Sun),200,4.1,Koramangala 5th Block,1,0,0, ,0,0
Tarama Bengali Food,200,1, ,8am – 10pm (Mon-Sun),4,3.3,Whitefield,1,1,0, ,0,1
Tarama Kolkata Fast Food,250,2, ,12noon – 10pm (Mon-Sun),14,3.4,Yeshwantpur,1,1,0, ,0,1
Taranga,800,3, ,11am – 11pm (Mon-Sun),129,3.9,Rajarajeshwari Nagar, ,1,1, ,0,1
Tarbouche,300,2, ,11am – 11pm (Mon-Sun),251,3.9,Koramangala 5th Block, ,1,1,1,0,1
Targaryen's Kitchen,500,4, ,10am – 11pm (Mon-Sun),25,3.6,JP Nagar,1,1,0, ,0,1
Taruni Andhra Mess,200,1, ,"12:30pm – 3:30pm, 8pm – 10:30pm (Mon-Sun)",22,3.6,Koramangala 5th Block,1,1,0, ,0,1
Taste and Tasty Foods,400,2, ,8:30am – 10:30pm (Mon-Sun),12,3.3,Bannerghatta Road,1,1,1, ,0,1
Taste Buds,250,3, ,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",56,3.8,Jalahalli,1,1,0, ,0,1
Taste Of Bengal,300,2, ,12noon – 11pm (Mon-Sun),171,3.2,Kammanahalli,1,1,0, ,0,1
Taste Of Bengal - Rolls & Lassi Center,200,4, ,10am – 10pm (Mon-Sun),10,3.5,Hennur,1,1,0, ,0,0
Taste of Bihar,300,1, ,"6:30pm – 10pm (Mon, Tue, Wed, Thu, Sun), 6:30pm...",28,3.7,Rammurthy Nagar, ,1,1,1,0,1
Taste of Gujarat,250,1, ,11am – 6pm (Mon-Sun),8,3.5,Banaswadi,1,1,0, ,0,1
Taste Of India,400,1,1,"9am – 8pm (Mon-Sat),9am – 4pm (Sun)",102,4,Yelahanka, ,1,1,1,0,1
Taste Of India Family Restaurant,300,2, ,11:30am – 11:30pm (Mon-Sun),216,3.4,Whitefield,1,1,1, ,0,1
Taste Of Malabar,350,3, ,9am – 12midnight (Mon-Sun),18,3.5,BTM,1,1,1, ,0,1
Taste Of Tibet,300,3, ,12noon – 9:30pm (Mon-Sun),318,4,Brigade Road,1,1,0, ,0,0
Tastebuds,300,2, ,8am – 8pm (Mon-Sun),22,3.7,Sarjapur Road,2,1,1, ,0,1
Tasting Room - Bengaluru Oota Company,2000,2, ,"12noon – 2:30pm, 7pm – 10:30pm (Mon-Sun)",49,4,Ulsoor,1,1,0, ,0,1
Tasty Bites,150,2, ,12noon – 10pm (Mon-Sun),20,3.6,Banashankari, ,1,0, ,0,1
Tasty Bites,450,1, ,"12noon – 4:30pm, 6:30pm – 10:30pm (Mon-Sun)",212,3.8,JP Nagar,1,1,1, ,0,1
Tasty Box,400,3,1,"11:45am – 12midnight (Mon, Wed, Thu, Fri, Sun)...",17,3.4,Sanjay Nagar,1,1,1, ,1,1
Tasty Funda,200,2, ,11am – 10pm (Mon-Sun),4,3.3,Electronic City,1,1,0, ,0,1
Tasty King,400,3, ,11am – 11pm (Mon-Sun),7,3.4,RT Nagar, ,1,1, ,0,1
Tasty Magic,550,2, ,12noon – 12midnight (Mon-Sun),69,2.6,BTM,1,1,1, ,0,1
Tasty Point,300,3, ,11am – 10pm (Mon-Sun),7,3.1,Bannerghatta Road,1,1,1, ,0,1
Tasty Treat,400,2, ,11am – 11pm (Mon-Sun),129,3.1,HSR,1,1,1, ,0,1
Tastybites.com,200,3, ,"8am – 11:30am, 4pm – 9:30pm (Mon-Sun)",75,3.9,Brookefield,1,1,1, ,0,1
Tastybites.com,200,3, ,"8am – 11:30am, 4pm – 9:30pm (Mon-Sun)",75,3.9,Brookefield,1,1,1, ,0,1
TATA CHA,400,2, ,"8am – 11pm (Mon, Tue, Wed, Thu, Sun), 8am –...",611,4,Indiranagar,1,1,1,3,0,0
Tattva Cafe,450,1, ,9am – 11pm (Mon-Sun),227,2.8,Koramangala 6th Block,2,1,0, ,0,1
Tawa Sagara,700,2, ,"11am – 3:30pm, 7pm – 11pm (Mon-Sun)",120,3.8,Jayanagar,1,1,1, ,0,1
Tawa Tandoor,700,2, ,"12:30pm – 3:30pm, 5:30pm – 11:30pm (Mon-Sun)",30,3.8,New BEL Road,1,1,1, ,0,1
Tayabbs,350,4,1,12noon – 12:30AM (Mon-Sun),725,4,Indiranagar,1,1,1,3,0,1
Tayo Restaurant,600,3, ,11am – 11pm (Mon-Sun),35,3.7,Electronic City,1,1,0, ,0,1
Taza Tawa,550,2, ,12:30pm – 11pm (Mon-Sun),161,3.8,Jeevan Bhima Nagar,1,1,1,2,0,1
TBC Sky Lounge,1000,4,2,12noon – 12midnight (Mon-Sun),5457,4.8,HSR,2,1,1,1,0,1
Tea & You,650,1,1,"11am – 4pm, 6pm – 10:30pm (Mon-Sun)",302,3.7,HSR,1,1,1, ,0,1
Tea and Wine Lounge,800,3, ,9am – 9pm (Mon-Sun),10,3.5,Radisson Blu Atria,1,1,0, ,0,1
Tea Bar,100,1, ,10:30am – 8:30pm (Mon-Sun),7,3.2,Residency Road,1,1,0, ,0,1
Tea Brew,500,3,1,"1pm – 10:30pm (Mon),11am – 10:30pm...",1067,4.1,Indiranagar,2,1,1, ,0,1
Tea Journey,500,1, ,10am – 9:30pm (Mon-Sun),67,3.8,Indiranagar,1,1,1, ,0,1
Tea Samskruthi,200,1, ,6am – 8:30pm (Mon-Sun),16,3.9,Malleshwaram,1,1,0, ,0,1
Tea Totallers,500,2, ,"8am – 8pm (Mon-Fri),Closed (Sat-Sun)",15,3.5,Bellandur,1,1,1, ,0,1
Tea Villa Cafe,800,6,4,10am – 11pm (Mon-Sun),647,4.2,HSR,2,1,1,1,0,1
TeamDelish,300,1, ,"12noon – 3pm (Mon-Sat),Closed (Sun)",9,3.4,Electronic City,1,1,0, ,0,1
Teapoy Mutiny,350,4, ,"11am – 10pm (Mon-Fri),9am – 10pm (Sat-Sun)",86,4.1,Hennur,1,1,1, ,0,1
Tease - Vivanta By Taj,1800,1, ,"3pm – 11:30pm (Mon, Tue, Wed, Thu, Sun), 3pm –...",62,3.7,"Vivanta By Taj, Whitefield",1,1,1, ,0,1
Teburu,800,4, ,"12noon – 3pm, 7pm – 11pm (Mon-Sun)",170,4.4,Kalyan Nagar,1,1,1, ,0,1
Teburu,800,4, ,"12noon – 3pm, 7pm – 11pm (Mon-Sun)",170,4.4,Kalyan Nagar,2,1,1, ,0,1
Techies Kitchen,250,3,1,7am – 3am (Mon-Sun),166,3.5,"ITPL Main Road, Whitefield",1,0,0, ,0,0
Tejaswini Bar and Restaurant,600,3, ,10am – 11pm (Mon-Sun),8,3.4,Kanakapura Road,1,1,0, ,0,1
Tella Tales,600,3,1,"11am – 11pm (Mon-Thu),11am – 12midnight (Fri-Sun)",384,4.2,Koramangala 5th Block,1,1,1, ,0,1
Tellimagic Restaurant,400,3, ,9am – 11:30pm (Mon-Sun),6,3.3,Electronic City,1,1,1, ,0,1
Temple Meals,200,1, ,11:30am – 3:30pm (Mon-Sun),66,3.7,Malleshwaram,1,1,0, ,0,1
Tempteys,350,2, ,"12midnight – 1am, 10:30am – 12midnight (Mon-Sun)",212,4.2,BTM,1,1,1,2,0,1
Tempura Restaurant,450,4, ,11am – 11pm (Mon-Sun),119,3.9,"5th Avenue, Brigade Road",1,1,0, ,0,1
Tenzin Kitchen,450,3, ,12noon – 10:15pm (Mon-Sun),471,4.2,Koramangala 7th Block,1,1,1, ,0,1
Teppan Japanese Grill & Sushi Bar,2000,1, ,"12noon – 3pm, 7pm – 11pm (Mon-Sun)",877,4.3,Ulsoor,1,1,1, ,0,1
Terracotta - Vivanta By Taj,3000,3, ,"12:30pm – 3pm, 7pm – 11pm (Mon-Sun)",239,4,"Vivanta By Taj, Whitefield",1,1,1, ,0,1
Tetto,1000,1,1,"11am – 12midnight (Mon-Thu),11am – 1am (Fri-Sun)",116,3.8,Koramangala 1st Block,2,1,1, ,0,1
Tewari Bros Mithai Shoppie,300,2, ,9am – 10pm (Mon-Sun),52,3.8,Commercial Street,1,1,1, ,0,1
TFC - Tiara Food Court,500,2, ,11am – 11pm (Mon-Sun),70,3.7,Rajarajeshwari Nagar,1,1,0, ,0,1
TFC - Tony's Food Corner,400,2,1,"10am – 3pm, 7pm – 10pm (Mon-Sun)",22,3.3,CV Raman Nagar, ,1,1, ,0,1
TFI - The Fresh Ice Cream,250,2, ,11am – 11pm (Mon-Sun),39,3.5,Bannerghatta Road, ,1,1, ,0,1
TGI Fridays,1700,4,1,12noon – 11:30pm (Mon-Sun),1292,3.9,"Royal Meenakshi Mall, Bannerghatta Road",1,1,1, ,0,1
Thai Chy,800,3,1,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",150,4.3,Indiranagar,1,1,1, ,0,1
Thai House,600,1, ,11am – 11pm (Mon-Sun),206,4.2,Indiranagar,1,1,1,1,0,1
Thalassery Mess,300,1, ,7am – 11:30pm (Mon-Sun),6,3.3,HSR,1,1,0, ,0,1
Thalassery Plaza,200,4, ,12noon – 11pm (Mon-Sun),26,3.6,Hennur,1,0,0, ,0,1
Thalassery Restaurant,600,8, ,8am – 11pm (Mon-Sun),656,3.3,Bellandur,1,1,1,10,1,1
Thalis Of India,350,4,1,10am – 10pm (Mon-Sun),17,3.4,Hennur, ,1,1,4,0,1
Thamboola,750,3,1,"11am – 4pm, 6:30pm – 11pm (Mon-Sun)",109,3.9,Banashankari,1,1,1, ,0,1
Thanco's Natural Ice Cream,150,2, ,10:30am – 10:30pm (Mon-Sun),11,3.6,Nagarbhavi, ,1,0,17,0,1
Thanima Garden Restaurant,500,3, ,12:30pm – 10:30pm (Mon-Sun),148,3.6,Electronic City,1,1,0, ,0,0
Tharavadu,350,3, ,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",74,3.7,Bommanahalli,1,1,1, ,0,1
That Garage Cafe,650,4, ,8am – 12midnight (Mon-Sun),96,3.5,HSR,1,1,1, ,0,1
Thavarumane Thindi,350,3, ,8am – 10pm (Mon-Sun),8,3.2,Kanakapura Road,1,1,0, ,0,1
Thayee Touch,450,3, ,"11am – 3:30pm, 6pm – 10:30pm (Mon-Sun)",27,3.6,JP Nagar,1,1,0, ,0,1
The  Tiffin Express,250,1, ,9am – 10pm (Mon-Sun),12,3.1,Koramangala 4th Block,1,1,0, ,0,1
The 13th Floor,1700,3,3,"4pm – 11pm (Mon-Thu),4pm – 1am (Fri-Sat),12noon...",4419,4.3,Barton Centre,1,1,1, ,0,1
The 90s Hash House,500,1, ,10:30am – 10:30pm (Mon-Sun),61,3.9,BTM,1,1,0, ,0,1
The Adukkala Restaurant,500,1, ,"8am – 4pm, 7pm – 10pm (Mon-Sat),8am – 4pm (Sun)",23,3.7,Brigade Road,1,0,0, ,0,1
The Airos,650,2, ,11:30am – 10:30pm (Mon-Sun),111,4,Jayanagar,1,1,1, ,0,1
The Alphaa,500,4, ,"11:30am – 3:30pm, 6pm – 10:30pm (Mon-Sun)",243,3.7,Bommanahalli,1,1,1, ,0,1
The Ambience Restaurant,400,2, ,11am – 11pm (Mon-Sun),6,3.2,International Airport,1,1,0, ,0,0
The Ants Cafe & Store,1000,2,1,9am – 8:30pm (Mon-Sun),1355,3.9,Indiranagar,1,1,1,1,0,1
The Aqua Bar - Golden Palms Hotel & Spa,1200,1, ,11am – 11pm (Mon-Sun),17,3.3,Golden Palms Hotel & Spa,1,1,0, ,0,1
The Arabesque Cafe,600,3, ,10am – 1am (Mon-Sun),91,4.1,Koramangala 4th Block,1,1,0, ,0,1
The Asian Curry House,600,4,1,12noon – 11pm (Mon-Sun),573,4.5,Malleshwaram,1,1,1, ,1,1
