Name,Cost,Cuisine,Featured_in,Hours,Votes,Rating,Location,Type,View_menu,Book_table,Outlets,Delivery,Call
Alloro - The Oterra,2500,1, ,"12noon – 3pm, 7pm – 11pm (Mon-Sun)",59,4,"The Oterra, Hosur Road",1,1,1, ,0,1
Alpha - House of Biryani & Tandoor,700,3,1,"12noon – 3:30pm, 7pm – 12midnight (Mon-Sun)",367,3,Whitefield,1,1,1, ,0,1
Alpha's Fresh Juice & Condiments,300,2, ,9am – 10:30pm (Mon-Sun),10,3.5,Rajarajeshwari Nagar,1,1,0, ,0,1
alt,1900,1, ,"5pm – 11:30pm (Mon, Tue, Wed, Thu, Sun), 5pm –...",699,4.1,"Waverly, Whitefield",2,1,1, ,0,1
Altaf's Chillies Restaurant,350,2, ,"12noon – 4pm, 6pm – 11pm (Mon-Sun)",213,3.8,Frazer Town,1,1,1, ,0,1
Alter Ego D'Deli,650,7,1,11am – 10:30pm (Mon-Sun),124,3.8,Kalyan Nagar,1,1,1, ,0,0
Alto Vino - Bengaluru Marriott Hotel Whitefield,3000,2,3,6:30pm – 11pm (Mon-Sun),247,4.3,Bengaluru Marriott Hotel Whitefield,1,1,1, ,0,1
Amadora Gourmet Ice Cream & Sorbet,450,2, ,"11am – 11:30pm (Mon-Thu),11am – 1am (Fri-Sun)",68,4,Lavelle Road,1,1,0, ,0,1
Amande Patisserie,300,3, ,10am – 10pm (Mon-Sun),230,4.2,UB City,2,1,0,1,0,1
Amanthrana Gardenia,800,5,1,"11:30am – 4pm, 6:30pm – 11:30pm (Mon-Sun)",76,3.8,Brookefield,1,1,1, ,0,1
Amaravathi Mess,400,5, ,"12noon – 6pm, 7pm – 11pm (Mon-Sun)",87,3.7,Electronic City,1,1,1, ,0,1
Amaravati,400,2, ,"11:30am – 3:30pm, 7pm – 11pm (Mon-Sun)",33,3.6,BTM,1,1,0, ,0,1
Amaravati - Pure Veg Restaurant,350,3, ,7am – 10:30pm (Mon-Sun),88,3.5,Kaggadasapura,1,1,0, ,0,1
Ambara Gardenia,800,4, ,"11:30am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",251,3.8,Bannerghatta Road,1,1,1, ,0,1
Amber Rush Restobar,1500,3, ,12noon – 1am (Mon-Sun),76,4.1,Residency Road,1,1,1, ,1,1
Ambika Vegetarian Hotel,500,2, ,7am – 10pm (Mon-Sun),30,3.7,Rajajinagar,1,1,0, ,0,1
Ambrosia,1200,5,2,11am – 11pm (Mon-Sun),620,4.4,Rajarajeshwari Nagar,1,1,1, ,1,1
Ambur Azad Darbar,250,3, ,11:30am – 11pm (Mon-Sun),6,3.2,BTM,1,1,0, ,0,1
Ambur Biriyani,250,1, ,12noon – 11pm (Mon-Sun),34,3.6,Indiranagar,1,1,0, ,0,1
Ambur Biriyani Centre,150,1, ,11am – 11pm (Mon-Sun),6,3.3,Bellandur,1,1,0, ,0,1
Ambur Biryani,250,2, ,8am – 10pm (Mon-Sun),15,3.5,Koramangala 3rd Block, ,1,0, ,0,1
Ambur Biryani Hotel,200,1, ,11am – 11pm (Mon-Sun),10,3.2,Koramangala 1st Block,1,0,0, ,0,1
Ambur Biryani Mess,250,1, ,11am – 10pm (Mon-Sun),17,3.3,Koramangala 6th Block,1,1,0, ,0,1
